A-1 A-2 	 A-3 A-2 	 A: 1   	 B: 1   	 A Winners: [([A],1)]                      	 B Winners: [([A],1)]
A-1 A-2 	 A-3 A-3 	 A: 1   	 B: 1   	 A Winners: [([A],1)]                      	 B Winners: [([A],1)]
A-1 A-2 	 A-3 B-1 	 A: 5   	 B: 1   	 A Winners: [([A],2)]                      	 B Winners: [([A],1)]
A-1 A-2 	 A-3 B-2 	 A: 3   	 B: 23  	 A Winners: [([A],1)]                      	 B Winners: [([A],10)]
A-1 A-2 	 A-3 B-3 	 A: 1   	 B: 109 	 A Winners: [([A],1)]                      	 B Winners: [([A],20),([A,B],5),([B],9)]
A-1 A-2 	 B-1 A-1 	 A: 1   	 B: 1   	 A Winners: [([A],1)]                      	 B Winners: [([A],1)]
A-1 A-2 	 B-1 A-2 	 A: 3   	 B: 1   	 A Winners: [([A],1)]                      	 B Winners: [([A],1)]
A-1 A-2 	 B-1 A-3 	 A: 3   	 B: 1   	 A Winners: [([A],1)]                      	 B Winners: [([A],1)]
A-1 A-2 	 B-1 B-1 	 A: 3   	 B: 1   	 A Winners: [([A],1)]                      	 B Winners: [([A,B],1)]
A-1 A-2 	 B-1 B-2 	 A: 1   	 B: 7   	 A Winners: [([A,B],1)]                    	 B Winners: [([A,B],2)]
A-1 A-2 	 B-1 B-3 	 A: 1   	 B: 13  	 A Winners: [([A,B],1)]                    	 B Winners: [([B],4)]
A-1 A-2 	 B-2 A-1 	 A: 1   	 B: 9   	 A Winners: [([A],1)]                      	 B Winners: [([A],2)]
A-1 A-2 	 B-2 A-2 	 A: 1   	 B: 13  	 A Winners: [([A],1)]                      	 B Winners: [([A],5)]
A-1 A-2 	 B-2 A-3 	 A: 3   	 B: 17  	 A Winners: [([A],1)]                      	 B Winners: [([A],7)]
A-1 A-2 	 B-2 B-1 	 A: 7   	 B: 7   	 A Winners: [([A,B],2)]                    	 B Winners: [([A,B],2)]
A-1 A-2 	 B-2 B-2 	 A: 1   	 B: 19  	 A Winners: [([A,B],1)]                    	 B Winners: [([B],4)]
A-1 A-2 	 B-2 B-3 	 A: 1   	 B: 35  	 A Winners: [([A,B],1)]                    	 B Winners: [([B],13)]
A-1 A-2 	 B-3 A-1 	 A: 1   	 B: 21  	 A Winners: [([A],1)]                      	 B Winners: [([A,B],2),([B],4)]
A-1 A-2 	 B-3 A-2 	 A: 1   	 B: 31  	 A Winners: [([A],1)]                      	 B Winners: [([A],3),([A,B],1),([B],5)]
A-1 A-2 	 B-3 A-3 	 A: 1   	 B: 27  	 A Winners: [([A],1)]                      	 B Winners: [([A],10)]
A-1 A-2 	 B-3 B-1 	 A: 15  	 B: 9   	 A Winners: [([A,B],2),([B],4)]            	 B Winners: [([B],2)]
A-1 A-2 	 B-3 B-2 	 A: 1   	 B: 17  	 A Winners: [([A,B],1)]                    	 B Winners: [([B],5)]
A-1 A-2 	 B-3 B-3 	 A: 1   	 B: 27  	 A Winners: [([A,B],1)]                    	 B Winners: [([B],11)]
A-1 A-3 	 A-1 A-1 	 A: 1   	 B: 1   	 A Winners: [([A],1)]                      	 B Winners: [([A],1)]
A-1 A-3 	 A-1 A-2 	 A: 1   	 B: 1   	 A Winners: [([A],1)]                      	 B Winners: [([A],1)]
A-1 A-3 	 A-1 A-3 	 A: 1   	 B: 1   	 A Winners: [([A],1)]                      	 B Winners: [([A],1)]
A-1 A-3 	 A-1 B-1 	 A: 3   	 B: 1   	 A Winners: [([A],1)]                      	 B Winners: [([A],1)]
A-1 A-3 	 A-1 B-2 	 A: 3   	 B: 17  	 A Winners: [([A],1)]                      	 B Winners: [([A],6)]
A-1 A-3 	 A-1 B-3 	 A: 1   	 B: 91  	 A Winners: [([A],1)]                      	 B Winners: [([A],18),([A,B],8)]
A-1 A-3 	 A-2 A-1 	 A: 1   	 B: 1   	 A Winners: [([A],1)]                      	 B Winners: [([A],1)]
A-1 A-3 	 A-2 A-2 	 A: 1   	 B: 1   	 A Winners: [([A],1)]                      	 B Winners: [([A],1)]
A-1 A-3 	 A-2 A-3 	 A: 1   	 B: 1   	 A Winners: [([A],1)]                      	 B Winners: [([A],1)]
A-1 A-3 	 A-2 B-1 	 A: 5   	 B: 1   	 A Winners: [([A],2)]                      	 B Winners: [([A],1)]
A-1 A-3 	 A-2 B-2 	 A: 3   	 B: 23  	 A Winners: [([A],1)]                      	 B Winners: [([A],10)]
A-1 A-3 	 A-2 B-3 	 A: 1   	 B: 109 	 A Winners: [([A],1)]                      	 B Winners: [([A],20),([A,B],5),([B],9)]
A-1 A-3 	 A-3 A-1 	 A: 1   	 B: 1   	 A Winners: [([A],1)]                      	 B Winners: [([A],1)]
